Car_id,Date,Gender,Dealer_Name,Company,Model,Transmission,Color,Price ($),Body Style,Dealer_Region
C_CND_000001,1/2/2022,Male,Buddy Storbeck's Diesel Service Inc,Ford,Expedition,Auto,Black,26000,SUV,Middletown
C_CND_000002,1/2/2022,Male,C & M Motors Inc,Dodge,Durango,Auto,Black,19000,SUV,Aurora
C_CND_000003,1/2/2022,Male,Capitol KIA,Cadillac,Eldorado,Manual,Red,31500,Passenger,Greenville
C_CND_000004,1/2/2022,Male,Chrysler of Tri-Cities,Toyota,Celica,Manual,Pale White,14000,SUV,Pasco
C_CND_000005,1/2/2022,Male,Chrysler Plymouth,Acura,TL,Auto,Red,24500,Hatchback,Janesville
C_CND_000006,1/2/2022,Male,Classic Chevy,Mitsubishi,Diamante,Manual,Pale White,12000,Hatchback,Scottsdale
C_CND_000007,1/2/2022,Male,Clay Johnson Auto Sales,Toyota,Corolla,Manual,Pale White,14000,Passenger,Austin
C_CND_000008,1/2/2022,Male,U-Haul CO,Mitsubishi,Galant,Auto,Pale White,42000,Passenger,Austin
C_CND_000009,1/2/2022,Male,Rabun Used Car Sales,Chevrolet,Malibu,Manual,Pale White,82000,Hardtop,Pasco
C_CND_000010,1/2/2022,Female,Rabun Used Car Sales,Ford,Escort,Auto,Pale White,15000,Passenger,Scottsdale
C_CND_000011,1/2/2022,Male,Race Car Help,Acura,RL,Manual,Pale White,31000,SUV,Austin
C_CND_000012,1/2/2022,Male,Race Car Help,Nissan,Pathfinder,Auto,Pale White,46000,Hardtop,Pasco
C_CND_000013,1/2/2022,Male,Saab-Belle Dodge,Mercury,Grand Marquis,Auto,Black,9000,SUV,Aurora
C_CND_000014,1/2/2022,Male,Scrivener Performance Engineering,BMW,323i,Auto,Pale White,15000,Hatchback,Greenville
C_CND_000015,1/2/2022,Male,Buddy Storbeck's Diesel Service Inc,Chrysler,Sebring Coupe,Manual,Pale White,26000,Sedan,Middletown
C_CND_000016,1/2/2022,Male,C & M Motors Inc,Subaru,Forester,Manual,Pale White,17000,Hatchback,Aurora
C_CND_000017,1/2/2022,Female,Capitol KIA,Hyundai,Accent,Manual,Black,18000,Hatchback,Greenville
C_CND_000018,1/2/2022,Female,Chrysler of Tri-Cities,Cadillac,Eldorado,Auto,Pale White,31000,Passenger,Pasco
C_CND_000019,1/2/2022,Male,Chrysler Plymouth,Toyota,Land Cruiser,Auto,Pale White,33000,SUV,Janesville
C_CND_000020,1/2/2022,Male,Classic Chevy,Honda,Accord,Auto,Pale White,21000,Sedan,Scottsdale
C_CND_000021,1/2/2022,Male,Clay Johnson Auto Sales,Toyota,4Runner,Manual,Black,25000,Sedan,Austin
C_CND_000022,1/2/2022,Male,Classic Chevy,Infiniti,I30,Auto,Black,21000,Hardtop,Austin
C_CND_000023,1/2/2022,Male,Diehl Motor CO Inc,Audi,A4,Manual,Pale White,12000,Hardtop,Middletown
C_CND_000024,1/2/2022,Male,Star Enterprises Inc,Porsche,Carrera Cabrio,Auto,Pale White,18000,Passenger,Pasco
C_CND_000025,1/2/2022,Male,Suburban Ford,Volkswagen,Jetta,Auto,Pale White,22000,Passenger,Janesville
C_CND_000026,1/2/2022,Male,Tri-State Mack Inc,Dodge,Viper,Auto,Pale White,31250,SUV,Scottsdale
C_CND_000027,1/2/2022,Female,U-Haul CO,Buick,Regal,Auto,Black,19000,Passenger,Austin
C_CND_000028,1/2/2022,Male,Progressive Shippers Cooperative Association No,Chrysler,LHS,Manual,Pale White,41000,Hatchback,Janesville
C_CND_000029,1/2/2022,Male,Race Car Help,Chrysler,LHS,Manual,Pale White,41000,Hatchback,Janesville
C_CND_000030,1/2/2022,Male,Ryder Truck Rental and Leasing,Saturn,LW,Manual,Pale White,13000,Hatchback,Scottsdale
C_CND_000031,1/2/2022,Male,Saab-Belle Dodge,Mitsubishi,3000GT,Manual,Pale White,20000,Sedan,Austin
C_CND_000032,1/2/2022,Male,Scrivener Performance Engineering,Mercedes-B,SLK230,Manual,Pale White,14000,Hatchback,Middletown
C_CND_000033,1/2/2022,Male,Star Enterprises Inc,Honda,Accord,Auto,Pale White,19000,Sedan,Aurora
C_CND_000034,1/2/2022,Male,Tri-State Mack Inc,Honda,Civic,Manual,Black,43000,Hatchback,Greenville
C_CND_000035,1/2/2022,Male,U-Haul CO,Jaguar,S-Type,Auto,Black,16000,Passenger,Pasco
C_CND_000036,1/3/2022,Male,Diehl Motor CO Inc,Volvo,S40,Auto,Pale White,42000,Sedan,Middletown
